Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,room_type_reserved,lead_time,arrival_date,market_segment_type,avg_price_per_room,booking_status
INN00001,2,0,1,2,Meal Plan 1,Room_Type 1,224,"Friday, February 10, 2017",Offline,65,Not_Canceled
INN00002,2,0,2,3,Not Selected,Room_Type 1,5,"Monday, June 11, 2018",Online,106.68,Not_Canceled
INN00003,1,0,2,1,Meal Plan 1,Room_Type 1,1,"Wednesday, February 28, 2018",Online,60,Canceled
INN00004,2,0,0,2,Meal Plan 1,Room_Type 1,211,"Sunday, May 20, 2018",Online,100,Canceled
INN00005,2,0,1,1,Not Selected,Room_Type 1,48,"Sunday, November 4, 2018",Online,94.5,Canceled
INN00006,2,0,0,2,Meal Plan 2,Room_Type 1,346,"Thursday, September 13, 2018",Online,115,Canceled
INN00007,2,0,1,3,Meal Plan 1,Room_Type 1,34,"Sunday, October 15, 2017",Online,107.55,Not_Canceled
INN00008,2,0,1,3,Meal Plan 1,Room_Type 4,83,"Wednesday, December 26, 2018",Online,105.61,Not_Canceled
INN00009,3,0,0,4,Meal Plan 1,Room_Type 1,121,"Thursday, June 7, 2018",Offline,96.9,Not_Canceled
INN00010,2,0,0,5,Meal Plan 1,Room_Type 4,44,"Thursday, October 18, 2018",Online,133.44,Not_Canceled
INN00011,1,0,1,0,Not Selected,Room_Type 1,0,"Friday, November 9, 2018",Online,85.03,Not_Canceled
INN00012,1,0,2,1,Meal Plan 1,Room_Type 4,35,"Monday, April 30, 2018",Online,140.4,Not_Canceled
INN00013,2,0,2,1,Not Selected,Room_Type 1,30,"Monday, November 26, 2018",Online,88,Canceled
INN00014,1,0,2,0,Meal Plan 1,Room_Type 1,95,"Tuesday, November 20, 2018",Online,90,Canceled
INN00015,2,0,0,2,Meal Plan 1,Room_Type 1,47,"Friday, October 20, 2017",Online,94.5,Not_Canceled
INN00016,2,0,0,2,Meal Plan 2,Room_Type 1,256,"Friday, June 15, 2018",Online,115,Canceled
INN00017,1,0,1,0,Meal Plan 1,Room_Type 1,0,"Wednesday, May 10, 2017",Offline,96,Not_Canceled
INN00018,2,0,1,3,Not Selected,Room_Type 1,1,"Sunday, October 8, 2017",Online,96,Not_Canceled
INN00019,2,0,2,2,Meal Plan 1,Room_Type 1,99,"Monday, October 30, 2017",Online,65,Canceled
INN00020,2,0,1,0,Meal Plan 1,Room_Type 1,12,"Monday, April 10, 2017",Offline,72,Not_Canceled
INN00021,2,0,2,2,Meal Plan 1,Room_Type 1,99,"Monday, October 30, 2017",Online,65,Canceled
INN00022,1,0,0,1,Meal Plan 1,Room_Type 1,122,"Sunday, November 25, 2018",Corporate,67,Not_Canceled
INN00023,2,0,2,4,Meal Plan 1,Room_Type 1,2,"Tuesday, March 20, 2018",Offline,85,Not_Canceled
INN00024,2,0,0,3,Meal Plan 1,Room_Type 1,37,"Saturday, October 13, 2018",Offline,105,Not_Canceled
INN00025,2,0,2,1,Not Selected,Room_Type 1,130,"Tuesday, May 22, 2018",Online,94.5,Not_Canceled
INN00026,2,0,0,2,Meal Plan 1,Room_Type 1,99,"Saturday, April 28, 2018",Online,114.3,Not_Canceled
INN00027,2,0,1,1,Meal Plan 1,Room_Type 1,60,"Thursday, September 21, 2017",Offline,65,Not_Canceled
INN00028,1,0,0,2,Meal Plan 1,Room_Type 4,2,"Saturday, May 19, 2018",Aviation,110,Canceled
INN00029,1,0,1,2,Meal Plan 1,Room_Type 1,37,"Sunday, June 11, 2017",Online,37.33,Canceled
INN00030,2,0,0,2,Meal Plan 2,Room_Type 1,56,"Sunday, September 17, 2017",Offline,82,Not_Canceled
INN00031,2,0,1,1,Meal Plan 1,Room_Type 4,3,"Tuesday, September 19, 2017",Online,177.5,Not_Canceled
INN00032,2,0,2,2,Meal Plan 1,Room_Type 1,107,"Tuesday, November 13, 2018",Online,87.5,Not_Canceled
INN00033,0,2,0,3,Meal Plan 1,Room_Type 2,56,"Thursday, July 12, 2018",Online,82.44,Not_Canceled
INN00034,2,0,0,1,Not Selected,Room_Type 1,2,"Saturday, September 1, 2018",Online,69.5,Not_Canceled
INN00035,2,0,0,2,Meal Plan 1,Room_Type 1,72,"Tuesday, July 10, 2018",Offline,85.5,Not_Canceled
INN00036,2,0,0,1,Not Selected,Room_Type 1,23,"Friday, April 27, 2018",Online,115,Not_Canceled
INN00037,1,0,2,1,Meal Plan 1,Room_Type 1,34,"Tuesday, June 19, 2018",Online,81,Canceled
INN00038,2,0,0,1,Meal Plan 1,Room_Type 1,289,"Tuesday, October 17, 2017",Offline,67,Not_Canceled
INN00039,2,0,2,3,Not Selected,Room_Type 1,247,"Monday, November 19, 2018",Online,63.75,Canceled
INN00040,2,0,2,1,Meal Plan 1,Room_Type 4,186,"Monday, July 30, 2018",Online,121.8,Canceled
INN00041,2,0,0,4,Meal Plan 1,Room_Type 1,64,"Thursday, January 11, 2018",Online,93.6,Not_Canceled
INN00042,2,0,0,2,Meal Plan 1,Room_Type 1,35,"Thursday, June 21, 2018",Online,102,Not_Canceled
INN00043,3,0,2,1,Meal Plan 1,Room_Type 1,96,"Thursday, October 4, 2018",Online,121.8,Not_Canceled
INN00044,2,0,1,1,Not Selected,Room_Type 1,41,"Wednesday, June 27, 2018",Online,98.1,Canceled
INN00045,2,0,0,4,Meal Plan 1,Room_Type 4,55,"Saturday, November 18, 2017",Offline,60,Not_Canceled
INN00046,2,0,0,3,Meal Plan 1,Room_Type 1,146,"Friday, December 29, 2017",Offline,75,Not_Canceled
INN00047,1,0,0,2,Meal Plan 1,Room_Type 1,32,"Monday, November 20, 2017",Offline,73,Not_Canceled
INN00048,2,0,0,1,Meal Plan 2,Room_Type 1,55,"Monday, June 4, 2018",Offline,104,Not_Canceled
INN00049,2,0,0,4,Not Selected,Room_Type 1,57,"Thursday, January 11, 2018",Online,79.2,Not_Canceled
