Serial_number,Brand_name,Price,DiscountPrice,Quantity,gender,age
1,Fresho,69.75,52,2 kg,female,25
2,Fresho,174.35,130,5 kg,female,25
3,Fresho,34.87,26,1 kg,female,25
4,Fresho,69.74,52,2 kg,female,25
5,Fresho,174.37,129,5 kg,male,25
6,Fresho,110,78,12 pcs,male,25
7,Fresho,210,181,30 pcs,female,25
8,Fresho,50.32,38.75,1 kg,male,25
9,Fresho,100.65,77.5,2 kg,male,25
10,Fresho,250,250,5x6 pcs,male,25
11,Fresho,50,38,6 pcs,male,25
12,Fresho,100,76,2x6 pcs,male,28
13,Fresho,200,200,4x6 pcs,male,28
14,Aashirvaad,119,118,2 kg,male,28
15,Aashirvaad,301,292,5 kg,male,28
16,Aashirvaad,65,63,1 kg,male,28
17,Harpic,93,93,500 ml,male,28
18,Harpic,186,182.28,500 ml,male,28
19,Harpic,195,181,1 L,male,28
20,Harpic,390,360.15,1 L,male,28
21,Harpic,585,543,1 L each,female,28
22,Harpic,40,40,200 ml,female,28
23,Harpic,390,390,1 L each,female,28
24,Fresho,26.9,17.5,1 kg,female,28
25,Fresho,13.45,9,500 g,female,28
26,Red Label,40,40,100 g,female,28
27,Red Label,285,285,500 g,female,28
28,Red Label,145,132,250 g,female,28
29,Red Label,570,526,1 Kg,female,28
30,Milky Mist,470,440,1 kg,female,28
31,Milky Mist,224,224,2x200 g,female,26
32,Milky Mist,275,255,500 g,female,26
33,Milky Mist,112,112,200 g,female,26
34,Fresho,25.97,17.5,1 kg,female,26
35,Fresho,12.99,9,500 g,female,26
36,Fresho,50.65,39,500 g,female,26
37,Fresho,101.3,78,1 kg,female,26
38,Fresho,25.32,19.5,250 g,female,26
39,MAGGI ,82,72,420 g,female,26
40,MAGGI ,14,14,70 g,female,26
41,MAGGI ,168,156,70 g,female,26
42,MAGGI ,55,52.5,280 g,female,26
43,MAGGI ,28,28,140 g,female,26
44,MAGGI ,109,109,560 g,female,26
45,iD Fresho,158,145,2x1 kg,female,26
46,iD Fresho,79,72.5,1 Kg,female,26
47,Dettol,600,456,8x125 g,female,26
48,Dettol,240,225.6,6x75 g,female,26
49,Dettol,75,75,125 g,female,30
50,Dettol,300,249,4x125 g,female,30
51,Dettol,150,132,2x125 g,female,30
52,Dettol,450,360,6x125 g,female,30
53,Colgate,85,85,150 g,female,30
54,Colgate,244,219.6,500 g,female,30
55,Colgate,346,325.36,2x300 g,female,30
56,Colgate,63,63,100 g,female,30
57,Colgate,173,166,3 pcs,female,30
